filename,fold,target,category
1/1.갇힘_420267.wav,1,1,갇힘
1/1.갇힘_180987.wav,1,1,갇힘
1/1.갇힘_181673.wav,1,1,갇힘
1/1.갇힘_188229.wav,1,1,갇힘
1/1.갇힘_161021.wav,1,1,갇힘
1/1.갇힘_467765.wav,1,1,갇힘
1/1.갇힘_661237.wav,1,1,갇힘
1/1.갇힘_655731.wav,1,1,갇힘
1/1.갇힘_663504.wav,1,1,갇힘
1/1.갇힘_398113.wav,1,1,갇힘
1/1.갇힘_417738.wav,1,1,갇힘
1/1.갇힘_667667.wav,1,1,갇힘
1/1.갇힘_376620.wav,1,1,갇힘
1/1.갇힘_164195.wav,1,1,갇힘
1/1.갇힘_465189.wav,1,1,갇힘
1/1.갇힘_407637.wav,1,1,갇힘
1/1.갇힘_466091.wav,1,1,갇힘
1/1.갇힘_671759.wav,1,1,갇힘
1/1.갇힘_666414.wav,1,1,갇힘
1/1.갇힘_668132.wav,1,1,갇힘
1/1.갇힘_661191.wav,1,1,갇힘
1/1.갇힘_465089.wav,1,1,갇힘
1/1.갇힘_406495.wav,1,1,갇힘
1/1.갇힘_465678.wav,1,1,갇힘
1/1.갇힘_666334.wav,1,1,갇힘
1/1.갇힘_374441.wav,1,1,갇힘
1/1.갇힘_465903.wav,1,1,갇힘
1/1.갇힘_673215.wav,1,1,갇힘
1/1.갇힘_169480.wav,1,1,갇힘
1/1.갇힘_658991.wav,1,1,갇힘
1/1.갇힘_464941.wav,1,1,갇힘
1/1.갇힘_167712.wav,1,1,갇힘
1/1.갇힘_416929.wav,1,1,갇힘
1/1.갇힘_656181.wav,1,1,갇힘
1/1.갇힘_465188.wav,1,1,갇힘
1/1.갇힘_661985.wav,1,1,갇힘
1/1.갇힘_670883.wav,1,1,갇힘
1/1.갇힘_664327.wav,1,1,갇힘
1/1.갇힘_174507.wav,1,1,갇힘
1/1.갇힘_466212.wav,1,1,갇힘
1/1.갇힘_672533.wav,1,1,갇힘
1/1.갇힘_422020.wav,1,1,갇힘
1/1.갇힘_663458.wav,1,1,갇힘
1/1.갇힘_392972.wav,1,1,갇힘
1/1.갇힘_663911.wav,1,1,갇힘
1/1.갇힘_657437.wav,1,1,갇힘
1/1.갇힘_673357.wav,1,1,갇힘
1/1.갇힘_466147.wav,1,1,갇힘
1/1.갇힘_373390.wav,1,1,갇힘
1/1.갇힘_392937.wav,1,1,갇힘
1/1.갇힘_664307.wav,1,1,갇힘
1/1.갇힘_423047.wav,1,1,갇힘
1/1.갇힘_166017.wav,1,1,갇힘
1/1.갇힘_465535.wav,1,1,갇힘
1/1.갇힘_465983.wav,1,1,갇힘
1/1.갇힘_664940.wav,1,1,갇힘
1/1.갇힘_418440.wav,1,1,갇힘
1/1.갇힘_666396.wav,1,1,갇힘
1/1.갇힘_467712.wav,1,1,갇힘
1/1.갇힘_391106.wav,1,1,갇힘
1/1.갇힘_670533.wav,1,1,갇힘
1/1.갇힘_422779.wav,1,1,갇힘
1/1.갇힘_671814.wav,1,1,갇힘
1/1.갇힘_666727.wav,1,1,갇힘
1/1.갇힘_410534.wav,1,1,갇힘
1/1.갇힘_465122.wav,1,1,갇힘
1/1.갇힘_467672.wav,1,1,갇힘
1/1.갇힘_163308.wav,1,1,갇힘
1/1.갇힘_420842.wav,1,1,갇힘
1/1.갇힘_397762.wav,1,1,갇힘
1/1.갇힘_465584.wav,1,1,갇힘
1/1.갇힘_378309.wav,1,1,갇힘
1/1.갇힘_466213.wav,1,1,갇힘
1/1.갇힘_655626.wav,1,1,갇힘
1/1.갇힘_654834.wav,1,1,갇힘
1/1.갇힘_412120.wav,1,1,갇힘
1/1.갇힘_164908.wav,1,1,갇힘
1/1.갇힘_668746.wav,1,1,갇힘
1/1.갇힘_658041.wav,1,1,갇힘
1/1.갇힘_174320.wav,1,1,갇힘
1/1.갇힘_392044.wav,1,1,갇힘
1/1.갇힘_668394.wav,1,1,갇힘
1/1.갇힘_464971.wav,1,1,갇힘
1/1.갇힘_409539.wav,1,1,갇힘
1/1.갇힘_394013.wav,1,1,갇힘
1/1.갇힘_658062.wav,1,1,갇힘
1/1.갇힘_466473.wav,1,1,갇힘
1/1.갇힘_666629.wav,1,1,갇힘
1/1.갇힘_466910.wav,1,1,갇힘
1/1.갇힘_664495.wav,1,1,갇힘
1/1.갇힘_393755.wav,1,1,갇힘
1/1.갇힘_161802.wav,1,1,갇힘
1/1.갇힘_181191.wav,1,1,갇힘
1/1.갇힘_467455.wav,1,1,갇힘
1/1.갇힘_419017.wav,1,1,갇힘
1/1.갇힘_418803.wav,1,1,갇힘
1/1.갇힘_663080.wav,1,1,갇힘
1/1.갇힘_671016.wav,1,1,갇힘
1/1.갇힘_672323.wav,1,1,갇힘
1/1.갇힘_668204.wav,1,1,갇힘
1/1.갇힘_670126.wav,1,1,갇힘
1/1.갇힘_666405.wav,1,1,갇힘
1/1.갇힘_666855.wav,1,1,갇힘
1/1.갇힘_654877.wav,1,1,갇힘
1/1.갇힘_390980.wav,1,1,갇힘
1/1.갇힘_182546.wav,1,1,갇힘
1/1.갇힘_666875.wav,1,1,갇힘
1/1.갇힘_673175.wav,1,1,갇힘
1/1.갇힘_371407.wav,1,1,갇힘
1/1.갇힘_669557.wav,1,1,갇힘
1/1.갇힘_166197.wav,1,1,갇힘
1/1.갇힘_400865.wav,1,1,갇힘
1/1.갇힘_414875.wav,1,1,갇힘
1/1.갇힘_416170.wav,1,1,갇힘
1/1.갇힘_656618.wav,1,1,갇힘
1/1.갇힘_660944.wav,1,1,갇힘
1/1.갇힘_670145.wav,1,1,갇힘
1/1.갇힘_668264.wav,1,1,갇힘
1/1.갇힘_466285.wav,1,1,갇힘
1/1.갇힘_465184.wav,1,1,갇힘
1/1.갇힘_664749.wav,1,1,갇힘
1/1.갇힘_464961.wav,1,1,갇힘
1/1.갇힘_162955.wav,1,1,갇힘
1/1.갇힘_665986.wav,1,1,갇힘
1/1.갇힘_664673.wav,1,1,갇힘
1/1.갇힘_167324.wav,1,1,갇힘
1/1.갇힘_393774.wav,1,1,갇힘
1/1.갇힘_188207.wav,1,1,갇힘
1/1.갇힘_670161.wav,1,1,갇힘
1/1.갇힘_670492.wav,1,1,갇힘
1/1.갇힘_668803.wav,1,1,갇힘
1/1.갇힘_668834.wav,1,1,갇힘
1/1.갇힘_420045.wav,1,1,갇힘
1/1.갇힘_673351.wav,1,1,갇힘
1/1.갇힘_659400.wav,1,1,갇힘
1/1.갇힘_666149.wav,1,1,갇힘
1/1.갇힘_404425.wav,1,1,갇힘
1/1.갇힘_654882.wav,1,1,갇힘
1/1.갇힘_419963.wav,1,1,갇힘
1/1.갇힘_666137.wav,1,1,갇힘
1/1.갇힘_373521.wav,1,1,갇힘
1/1.갇힘_372072.wav,1,1,갇힘
1/1.갇힘_465217.wav,1,1,갇힘
1/1.갇힘_466920.wav,1,1,갇힘
1/1.갇힘_161174.wav,1,1,갇힘
1/1.갇힘_171985.wav,1,1,갇힘
1/1.갇힘_661525.wav,1,1,갇힘
1/1.갇힘_671493.wav,1,1,갇힘
1/1.갇힘_163284.wav,1,1,갇힘
1/1.갇힘_371980.wav,1,1,갇힘
1/1.갇힘_667998.wav,1,1,갇힘
1/1.갇힘_656793.wav,1,1,갇힘
